tide_range,beam,beam_pair,lat,lon,repeat_cycles_no,track
2.377549286,r,3,-83.19282408,-167.8957094,5,502
2.360775532,r,3,-80.05852366,-149.8615873,4,571
2.358781775,pair,3,-85.28279317,-155.3780586,3,1187
2.351654315,r,3,-81.45905947,-163.9091449,5,944
2.347672085,r,1,-85.18783957,-154.2493656,4,526
2.34446212,r,1,-78.78810681,-161.8917487,4,624
2.335240049,pair,3,-80.04392824,-150.1424995,4,129
2.33070803,pair,3,-82.37467586,162.9241357,4,168
2.328202645,pair,3,-82.36896169,162.045025,5,939
2.32518328,l,1,-78.78738833,-161.8866878,4,624
2.297041796,l,1,-77.42538311,-153.1483129,3,959
2.284316212,l,1,-79.22558105,-151.9597392,6,632
2.277642913,l,2,-81.01388033,-153.9116983,3,53
2.261226511,l,2,-83.60368591,-170.0813941,4,1066
2.255147531,r,2,-85.27847398,-159.8266349,6,572
2.254612738,r,2,-83.60257073,-170.0860796,4,1066
2.253643819,l,1,-80.05465585,-150.2299562,3,571
2.252625858,l,3,-82.84186207,-162.5723262,6,1081
2.249793353,l,2,-82.84991594,-162.3380626,6,1081
2.236254315,l,2,-82.85346888,-162.3252566,5,526
2.229530199,pair,2,-83.60321276,-170.0839917,4,1066
2.218009774,l,2,-84.6509893,-162.9825831,6,572
2.213605734,r,2,-82.85339688,-162.3183403,5,526
2.200780191,pair,1,-78.78818503,-161.8896532,4,624
2.195899228,l,3,-80.58872905,160.8514599,4,1037
2.19252207,l,2,-80.0496792,-150.057143,3,571
2.190810146,pair,2,-76.35067351,-145.9789877,4,906
2.189122596,l,3,-83.71041089,-168.5040644,5,755
2.184690363,r,1,-85.32854925,-153.4639437,4,526
2.183598052,pair,2,-82.85351826,-162.3215939,5,526
2.173874633,r,1,-81.13100756,-158.8076728,4,1081
2.168354357,l,3,-79.84552501,-155.8531074,4,959
2.167838434,l,1,-77.19826186,-154.0088974,3,578
2.165910499,pair,1,-85.17664334,-154.3150585,5,526
2.156166332,l,1,-84.66953422,-161.9533861,4,8
2.153238111,pair,1,-79.12130279,-154.697017,4,959
2.146166221,pair,1,-85.32903864,-153.4666667,4,526
2.13882602,l,1,-81.13154711,-158.802954,4,1081
2.134773977,r,3,-79.96753363,-154.9701528,3,1340
2.134126136,l,1,-79.10318262,-154.6762085,4,959
2.128509719,pair,3,-79.84491387,-155.8547914,4,959
2.128259429,r,1,-79.22629355,-151.9544735,6,632
2.126071058,l,2,-85.21199161,-153.7300106,5,526
2.125453199,pair,3,-85.29708062,-158.0184242,5,8
2.118751001,l,1,-82.88581058,-171.7764207,3,1371
2.118164026,r,2,-85.32620814,-153.0661857,4,526
2.112966746,r,1,-79.93683004,-155.3571321,3,14
2.111789358,r,1,-84.66906014,-161.9457636,4,8
2.106644501,pair,3,-84.4174611,-173.2473628,3,1066
2.097614355,r,2,-80.99204139,-153.6799658,5,495
2.092761393,r,3,-85.21169728,-153.3200457,4,526
2.087802286,l,3,-82.79698114,-173.6250691,5,496
2.067655679,pair,1,-83.26573482,-167.0301343,5,1386
2.064708678,r,3,-84.41714018,-173.2507182,3,1066
2.063167564,r,3,-83.50163988,-159.0203614,4,1349
2.060531953,r,2,-81.1466354,-159.0339929,4,1081
2.059592478,l,1,-83.26569095,-167.0262475,5,1386
2.052038185,pair,3,-85.21108051,-153.3291879,4,526
2.050382224,pair,3,-85.31261141,-152.7401416,3,526
2.046616637,r,1,-84.56431244,-169.3993966,6,557
2.04323499,l,3,-81.13515121,-158.713822,5,922
2.037776855,l,1,-81.15840352,-159.0816076,5,922
2.034945748,pair,3,-76.40534456,-145.8104136,4,906
