beam,beam_pair,lat,lon,repeat_cycles_no,track
l,3,-83.14219653,-162.2971687,6,75
r,1,-84.96668579,-150.0531398,6,501
r,1,-85.12499015,-155.2720235,4,1309
l,2,-81.97023448,-154.74028,5,1096
r,3,-81.57892818,-161.3373968,4,724
l,1,-84.3063935,179.7026843,4,405
l,2,-79.76930049,160.0219933,5,275
l,1,-83.02303168,-155.4906099,5,532
r,3,-84.17992923,178.5887792,4,853
l,1,-80.53590912,-149.8874534,5,913
r,3,-81.09762203,-155.9123863,3,236
l,1,-84.40411202,-177.3254936,6,664
l,2,-83.46479049,-164.9970554,3,700
l,1,-80.38169811,-150.4602029,3,974
r,3,-84.05675495,-164.474855,5,69
r,3,-82.06731508,-157.8287002,2,983
r,3,-84.73469743,-159.1285057,4,328
r,3,-82.84534556,-155.0783707,6,1364
r,3,-79.84838413,-159.4689099,6,1303
l,2,-83.22416736,-170.5599351,4,1188
l,2,-82.02274984,-157.9580005,5,1340
r,3,-85.17779462,-149.1016299,6,1105
l,1,-83.4691099,-164.2101302,5,197
r,3,-85.31642782,-161.5581468,5,730
l,2,-83.61987784,171.9530702,3,1082
l,1,-81.23591027,-159.9981253,4,541
l,1,-82.67491409,-153.6493573,4,1181
l,1,-85.40814586,-151.9709114,3,907
l,1,-84.72201996,-158.8720688,4,709
l,2,-81.20608025,-159.3223998,2,38
l,1,-82.95815318,-173.7679408,5,1051
l,2,-80.36100328,-150.9515246,4,1135
l,1,-83.38863293,-157.5744008,4,1166
l,1,-79.11747527,-154.1497114,6,1257
r,3,-84.3262376,-179.0394793,5,1289
r,3,-84.43823618,-174.1748489,6,481
l,2,-79.86766204,-148.2054629,3,1333
l,2,-85.31381949,-150.2085423,3,1263
r,3,-84.35356038,-165.7204027,4,959
l,1,-84.31850931,-178.6818857,4,1112
r,3,-83.83622828,-167.3094278,6,694
l,2,-83.27516237,168.1308196,4,1076
r,3,-79.10743628,-151.234532,4,129
l,2,-80.80977927,160.1047071,3,1320
r,1,-79.72079507,-148.6078945,4,1355
r,3,-80.9785569,-148.0523756,5,68
l,1,-79.85059893,-159.5619844,3,358
l,2,-82.12022501,162.3350556,5,1320
r,3,-81.79853911,-153.8656426,3,1035
l,2,-80.78744969,160.8509225,4,1259
l,2,-85.19380395,-148.2293283,5,699
r,3,-79.13987175,-153.4882862,4,837
r,1,-82.49214369,162.8744062,5,1320
l,2,-82.24531356,163.105702,4,817
l,1,-83.09570634,-157.8336175,6,663
l,3,-81.02569862,160.6274067,4,1320
r,3,-81.55929169,161.3906244,4,412
l,1,-81.01367438,-148.4937892,2,288
r,3,-84.42888737,-174.9940855,5,542
r,3,-84.39044454,-176.2563125,4,1310
l,1,-84.38287271,-176.5923943,5,929
l,1,-82.96370152,-173.7302023,5,496
l,1,-81.19976009,-159.1691957,6,639
r,3,-84.37407141,-178.0079453,5,990
l,2,-80.79596655,160.4852073,6,595
l,1,-80.46956548,160.6142907,3,1098
l,2,-79.84534511,-160.6114557,4,883
l,2,-81.33595179,-161.6704446,4,1264
l,1,-82.31314805,-153.1101942,5,471
r,3,-82.32595236,161.4380282,3,55
l,1,-83.01352655,-171.0497354,4,365
l,1,-83.80031524,-168.2883897,4,252
l,2,-83.83154787,-166.0750309,6,572
l,1,-81.39899275,-156.1116491,6,837
r,1,-82.83962122,-163.6422063,3,145
l,2,-83.39144045,-169.7226503,6,624
r,3,-80.57914779,160.2294732,5,375
r,2,-81.06371525,-155.1276815,6,617
r,1,-84.97464161,-151.6510969,5,623
r,1,-83.34435862,169.3830279,5,442
r,1,-83.34021533,169.3410102,6,512
l,3,-82.45632207,-152.588667,6,1294
r,2,-83.0736978,-156.0628456,4,541
r,2,-85.3768045,-151.4684908,3,1349
l,3,-81.52198691,-154.4022219,3,654
r,2,-84.17312267,178.6731778,4,411
r,2,-83.89415723,175.2290767,6,1219
l,3,-83.47265344,-168.4171784,5,944
l,3,-83.83788397,-166.2747898,6,1075
l,1,-83.84098285,-167.3804751,5,191
l,3,-84.62180184,-169.1719798,4,1142
l,3,-84.72651419,-159.4360685,5,1273
r,2,-81.3585692,-161.6643794,3,1166
l,3,-81.58870918,-161.2721509,3,258
r,3,-80.062531,-148.3379894,4,349
r,1,-83.05762646,-155.8455007,4,38
r,2,-83.03733168,-155.5337508,3,974
l,3,-79.99183167,-153.9574355,4,334
r,1,-82.92112195,-172.7887937,5,877
r,1,-84.23054914,-164.0796896,4,456
r,1,-83.0521093,-157.3891398,4,212
r,1,-79.37767853,160.6346489,5,275
l,3,-79.57310457,-159.2837849,4,800
r,1,-84.62463565,-162.001453,4,1096
r,1,-82.91461156,-173.150415,6,548
r,1,-84.37255861,-164.0957806,4,1340
r,2,-83.86232178,174.3075122,3,268
l,2,-79.71294064,-153.4419105,5,334
r,1,-84.00501174,176.815645,4,85
r,2,-80.83732623,-147.9142079,4,1172
l,3,-79.74944701,160.4384057,5,1198
r,1,-84.35938968,-165.6033823,4,75
l,3,-82.40685418,163.940691,5,1259
l,3,-85.37009169,-157.4532316,4,1309
l,3,-85.39196633,-153.1705231,5,501
r,2,-81.48037527,161.9979445,3,854
r,3,-81.3291955,-157.1964218,3,898
l,3,-84.89154038,-156.6539722,4,989
l,3,-82.10348261,162.0103914,5,436
r,1,-83.83963131,-164.8165051,6,1081
r,1,-79.84558569,-160.701396,2,441
l,3,-85.17629161,-149.3101404,4,760
r,1,-84.43389863,-165.1152394,5,14
r,1,-81.38151563,160.29535,4,92
r,1,-81.56651235,161.5437896,4,1357
r,2,-84.42998174,-175.0628837,4,984
r,1,-83.44061007,-169.3311942,4,1066
l,3,-81.56281083,161.5157269,4,1320
r,2,-82.05734716,-154.1348862,2,1035
r,1,-84.31540526,-178.1594978,5,609
r,1,-85.38277818,-153.3297063,4,120
l,3,-84.05702579,-165.0015092,6,572
r,2,-81.05444845,-154.3630437,6,556
l,3,-84.63991001,-161.6431218,5,953
r,2,-81.6223755,161.6726318,5,375
l,3,-79.75785321,-163.277129,4,624
l,3,-84.48509207,-172.7437837,4,1005
l,3,-80.40280405,160.8503556,6,595
r,2,-81.27911962,-162.5729617,4,1227
l,3,-83.20065596,-165.0521518,4,1203
l,3,-83.82034921,-167.6805569,3,1264
r,2,-85.04647961,-156.5479724,5,486
r,1,-79.04997606,161.6628899,4,1015
l,3,-84.54970752,-171.4579703,6,883
l,1,-84.19453827,-164.4587589,5,959
l,2,-81.61013647,-160.5766894,4,1142
l,1,-84.80198591,-165.6321615,3,395
l,2,-83.1956673,-165.0907364,6,1273
l,1,-83.35630747,-162.8555089,4,578
l,1,-79.65920678,160.0636831,6,1220
r,2,-79.944401,159.7265629,4,1259
r,3,-85.10776825,-152.8577646,3,907
l,2,-84.5157355,-172.0117435,6,502
r,3,-81.98517776,-154.6156511,6,1181
l,2,-81.29566864,-163.4222418,5,944
l,1,-84.79105233,-158.0458425,6,730
r,3,-79.79957178,-161.6052573,5,541
l,2,-83.46086588,-158.4905133,5,654
l,1,-85.3483466,-148.951611,6,1105
r,3,-83.49459628,-164.8525901,5,197
l,1,-81.16335474,-158.0354883,6,1303
l,2,-79.65494289,160.153488,5,1198
l,1,-85.24974476,-147.9539272,3,983
l,1,-85.32965619,-156.8389042,4,328
l,2,-84.20008856,179.3681141,5,1350
l,1,-81.25783411,-158.665494,4,1364
l,2,-79.21008052,-151.0329228,4,571
r,3,-80.27755567,-150.6962749,4,974
r,3,-81.14021853,-151.1742715,4,913
r,3,-82.14876309,-154.0257001,5,532
r,3,-83.56273063,-160.1207353,3,273
l,2,-79.8495468,-154.9754102,4,937
l,2,-81.37478417,-156.9716724,3,800
l,1,-81.30691335,-162.2204969,3,724
r,3,-84.34785886,-179.4724957,4,405
l,1,-81.60279024,-160.4312694,3,160
r,3,-80.48689905,-150.2014535,4,913
l,2,-79.09981463,-151.1504055,5,571
l,1,-83.05371522,-157.4199573,3,160
l,2,-83.76014396,173.3355805,5,15
l,2,-82.73774694,-154.2955536,6,800
l,1,-84.19601828,179.1762837,3,853
l,1,-82.38452099,164.9361175,3,46
r,3,-83.07106414,-156.1423495,5,532
l,2,-83.24967166,168.077651,2,1006
r,3,-83.0078694,-163.5130094,5,197
l,2,-81.29384837,-162.29527,3,282
l,1,-82.9269874,-155.3966682,5,1364
l,1,-84.69184037,-160.0415139,4,328
l,2,-79.57556633,160.061538,5,1198
l,1,-79.85331383,-159.8183452,5,1303
l,2,-83.47171441,-168.3933619,6,502
r,3,-85.37247911,-151.3367612,3,907
r,2,-79.8557034,159.6181964,4,1259
l,2,-82.92145162,-172.798053,5,435
l,2,-83.17485323,-157.7013821,5,654
r,3,-81.21804824,-159.6126728,4,541
l,1,-85.33419834,-160.8278977,5,730
l,2,-79.81834747,-161.3581753,3,944
l,2,-85.37501009,-160.0499309,4,633
l,1,-84.348024,-179.6200942,5,1289
l,1,-84.42389719,-174.9114218,6,481
r,3,-79.12555073,-153.8102634,6,1257
l,2,-82.84006533,-163.093503,4,1142
l,1,-84.36579811,-165.0993276,5,959
l,1,-79.57804202,160.1563594,6,1220
l,1,-83.14274793,-162.287424,5,578
r,3,-82.88837494,-174.1166687,4,1051
r,3,-85.05352437,-156.5179708,4,709
l,3,-83.59024335,-169.5487594,3,1005
r,3,-79.11852723,-153.9844811,3,1340
l,3,-83.69440097,-168.3140288,6,883
r,2,-82.3151164,161.6988785,5,939
r,1,-83.00893576,167.9593091,4,1015
r,2,-85.36201205,-158.2970315,5,486
l,3,-84.56506513,-170.484322,3,1264
l,3,-81.57968894,-161.5161187,6,1203
l,3,-83.82099242,-165.8112412,6,572
r,1,-82.65504724,166.0868474,4,634
l,3,-79.57775649,-163.0640006,5,624
l,3,-84.37373428,-164.0628832,4,130
l,3,-85.37904304,-157.7917288,5,953
r,2,-81.13973234,-151.1153169,4,312
r,2,-83.48162599,-168.699416,5,694
l,1,-83.38481654,169.9762307,5,9
r,1,-82.9257898,-173.9562277,5,609
r,1,-84.78154506,-158.3357929,5,1151
r,2,-83.07251956,-156.4033302,5,1035
l,3,-81.48928614,161.3875477,5,1320
r,1,-85.02690754,-162.8704912,4,1136
l,3,-82.18522303,162.1760453,4,436
l,3,-84.8090318,-156.2553267,5,989
l,2,-85.48860028,-154.1624596,5,1151
r,3,-81.9366003,-158.2827855,4,898
r,2,-81.60974209,161.7748645,3,854
l,3,-84.9053382,-150.4883201,6,501
l,3,-85.10103442,-155.9130382,4,1309
r,1,-84.14475826,-164.808581,4,75
l,3,-85.29989951,-150.0173681,4,760
r,1,-81.27722911,-162.6740002,5,441
r,1,-79.02430333,-164.2059234,5,1249
r,1,-84.7332356,-168.1904531,4,1081
l,2,-79.11848108,-152.7778048,3,334
r,2,-81.22180189,-159.673252,3,197
l,3,-84.96728549,-151.5286943,2,282
l,1,-79.09851856,-154.4120286,3,14
l,3,-79.95935761,160.6960597,6,1198
r,2,-80.98907487,-148.1412037,3,1172
r,2,-82.99286291,-155.4215784,3,974
r,1,-84.92834816,-163.3776228,4,1096
r,3,-79.42490343,160.7658638,4,1159
r,1,-81.5400992,-154.2756953,3,212
r,2,-80.25600213,-150.7446305,6,532
l,3,-83.83054242,174.8882001,3,777
r,1,-84.25360805,-164.1646427,4,456
l,3,-83.82702695,-166.1438124,5,1142
l,1,-84.36241898,-165.5470354,3,191
l,3,-84.35452215,-164.3991092,6,1075
r,1,-82.04171163,-158.0716656,3,38
r,2,-83.34179525,-163.3886727,4,709
r,3,-80.03293829,-148.3003991,4,349
l,3,-83.26004136,-164.9546502,3,258
l,3,-85.33379693,-156.2502304,4,1273
r,2,-82.9209358,167.3599595,4,1128
r,2,-84.33144243,-179.3264221,4,670
l,3,-84.51376111,-172.0843832,5,944
l,3,-83.0668407,-157.6834965,5,654
r,2,-85.10636391,-152.9953036,3,1349
r,2,-81.89296245,-158.6493209,5,541
l,3,-82.61612643,-152.946518,6,1294
r,2,-84.89909842,-155.344079,6,526
r,1,-83.15947064,168.8601849,6,512
l,2,-84.3715381,-164.143255,6,572
l,1,-84.88483811,-164.0927006,2,252
l,1,-83.53331442,-160.4973278,4,1279
l,1,-82.70165049,-153.9473534,5,471
r,3,-80.67547667,160.3672494,5,375
l,2,-84.48632773,-173.4473315,6,624
r,3,-81.11789594,-150.4292106,3,1196
l,2,-80.85461399,160.3992012,6,595
l,2,-80.46008582,159.1416,4,275
r,3,-82.98613374,-173.5832682,3,990
l,1,-84.81127561,-167.5498563,6,496
r,3,-83.15113597,-172.1960206,5,1310
l,1,-83.1127948,-172.5967923,5,929
r,3,-84.79488144,-155.678693,4,486
l,2,-79.8502371,-159.5789843,4,1264
l,2,-81.26811501,-162.598797,5,883
l,1,-80.49390903,160.5813515,2,1098
l,2,-83.95879013,175.9180873,5,1091
r,3,-79.44895356,-159.5445881,3,822
l,1,-81.33665081,-161.6534907,4,221
r,3,-84.4278845,-175.2556187,4,100
l,1,-84.1712926,178.4861709,4,914
l,1,-80.78838799,-148.1628142,3,288
l,1,-81.6152616,-160.9289722,6,663
r,3,-84.35483845,-165.4259232,4,694
l,1,-82.84009726,-174.2632699,5,1112
l,2,-82.51345027,163.1546354,6,1320
l,1,-81.14731398,-157.8008748,4,358
r,3,-80.78565772,-148.343546,5,68
r,1,-79.86034833,-148.7723283,4,1355
l,2,-80.84603986,160.1580164,3,1320
r,3,-79.21518822,-151.1177934,4,129
r,3,-82.18087132,163.845399,5,1052
l,1,-83.18282194,-158.1277786,4,1166
l,2,-83.83509438,174.7286335,5,1152
l,2,-79.14717025,-152.3981439,4,1135
l,2,-79.82732073,-161.2320336,3,38
l,1,-85.42469838,-155.2417044,3,709
r,3,-84.12810347,-164.8601611,4,959
l,2,-85.17354307,-149.418331,4,1263
l,1,-79.7012433,-153.5077217,6,1257
l,2,-83.34476117,169.375054,5,884
l,2,-84.0618158,177.2621785,4,91
l,1,-82.87542859,-162.5269868,6,526
l,1,-81.39973137,-156.1000377,5,1181
l,1,-79.75001982,-162.017301,5,541
r,3,-84.74272703,-158.5535354,6,730
l,2,-83.42683597,170.1107548,4,954
l,1,-85.1493917,-153.4287361,3,907
r,3,-81.15565555,-157.6374174,5,1303
r,3,-81.23719393,-158.2842275,4,1364
r,3,-85.34671596,-155.9016863,4,328
l,2,-84.11546671,178.0223475,4,969
r,3,-83.04651681,-155.6113245,2,983
l,1,-83.51892418,-164.352868,5,197
r,3,-85.27274328,-148.5603805,6,1105
l,2,-81.3812848,-156.8101967,4,1340
l,2,-79.39719862,-163.9862464,4,1188
l,2,-84.81323411,-166.8250969,3,456
l,1,-82.99317872,-155.4167547,5,532
r,3,-84.90792882,-150.2600975,4,160
l,2,-79.93783017,159.817786,5,275
r,3,-83.1132698,-158.0309313,3,724
l,2,-83.0541735,-157.1281805,4,1096
l,3,-83.36657823,-169.279113,5,1197
l,1,-84.3817311,-176.6347976,4,603
l,1,-81.12519607,-150.7412353,4,913
l,3,-83.79912453,-165.2723967,6,1081
r,2,-84.91437212,-151.1197032,3,663
l,2,-81.14226246,-153.0480408,4,151
r,1,-85.19319537,-148.6194994,3,760
l,3,-79.84065279,-161.0412311,2,441
r,1,-85.41473197,-152.4806985,5,501
r,2,-83.29779012,-157.2846797,4,221
l,3,-83.35685708,-162.8866589,6,75
r,1,-83.46197118,170.4588365,4,451
l,3,-83.18660454,-171.7652537,3,807
l,1,-81.37890075,-156.8579299,4,898
l,1,-79.12291128,-153.9173001,4,898
l,3,-83.84329084,-167.0352922,3,1136
l,3,-79.80915296,-163.0796834,4,1066
l,3,-84.31458015,-178.8014816,5,609
l,2,-79.88826346,160.1713952,3,756
r,1,-81.3564521,160.753179,4,1320
l,1,-80.8120665,160.1734179,5,375
r,2,-83.89194979,173.9379538,4,396
l,3,-84.41357754,-165.701789,5,14
l,3,-81.42632263,161.367062,3,1357
r,1,-84.61187714,-162.4530334,4,953
r,2,-84.36817316,-163.8893423,4,837
l,2,-83.45809172,-168.873663,4,1005
r,1,-83.35481721,-169.352868,6,624
l,3,-83.26685432,168.119648,2,634
r,2,-83.38698012,-160.3660864,4,1279
r,2,-80.39346245,-150.1469432,4,471
r,1,-83.36221374,-164.95776,5,1203
r,1,-84.55159248,-170.7884897,6,883
r,1,-84.64133186,-161.2886867,4,1334
r,1,-84.51053685,-172.1791545,4,1005
r,2,-83.45652406,-164.2017962,6,639
r,2,-84.37569461,-176.8372465,5,1106
r,1,-81.57274822,-154.0707566,4,654
l,3,-85.10594923,-153.0834881,6,623
l,3,-83.61340751,171.9447504,4,137
r,1,-81.44129355,-163.719607,5,502
r,1,-84.62756066,-160.5694559,5,1273
l,3,-83.01387447,-155.44219,5,38
r,2,-85.07510776,-156.1778439,5,1370
r,2,-85.37794728,-160.4714503,4,1111
r,2,-83.96649332,175.6940936,5,649
r,1,-83.82748176,-166.8971737,6,1075
r,1,-84.64906348,-168.60161,3,1142
l,3,-83.11648725,-158.0734118,4,212
r,1,-85.38973078,-159.8649756,4,166
l,3,-84.00828115,-163.9030675,4,456
l,3,-84.60618714,-162.6079817,5,1096
r,1,-79.33743648,-159.8817615,5,800
r,2,-85.27665651,-148.6841322,5,160
l,3,-79.13476207,160.5725403,5,275
r,2,-79.15860737,-152.9004854,3,251
r,1,-80.11458961,-150.1503202,4,571
r,2,-81.91169705,-154.7198272,4,236
l,3,-82.86210339,-172.4287963,5,877
r,2,-79.80797684,-161.5103072,5,983
r,2,-81.17898835,-158.5810937,3,1364
l,3,-82.86549106,-173.5346351,6,548
l,3,-84.3738563,-164.7526756,4,1340
r,2,-83.21936324,-156.9784244,5,1105
r,2,-83.37410549,169.8047323,5,381
r,2,-79.88424017,-155.1879348,3,495
l,2,-83.36238594,-168.7878021,3,1136
l,2,-79.74766211,-162.8314767,3,1066
r,3,-81.23650877,-157.2469801,4,358
l,1,-81.02449399,-148.3848993,6,68
l,1,-79.07608756,-151.5975091,4,129
l,1,-83.79266247,-168.0534394,6,694
r,3,-84.34846611,-179.4633701,4,1112
l,1,-84.51684161,-175.3193214,5,542
l,2,-84.65874834,-168.3982864,5,999
l,1,-81.62589066,161.707282,4,412
l,2,-83.37183563,-163.6929555,6,1081
l,2,-84.54621101,-171.3591833,4,441
l,2,-84.56710887,-175.8607513,5,1249
l,1,-83.5584984,-160.3108486,4,334
l,2,-85.35951927,-158.586256,5,511
l,2,-84.80607102,-165.9148486,6,1319
r,3,-79.41839345,-163.8697095,2,221
l,2,-84.73095037,-159.2527973,3,770
l,1,-84.30983214,-178.3891015,5,167
l,2,-80.54918785,160.5772047,4,153
r,3,-79.07227094,161.9330175,3,1098
l,2,-83.34948701,169.1141476,4,1015
r,3,-81.21671646,-159.6096703,6,639
l,2,-85.06114455,-149.5998982,6,1324
r,3,-83.07904282,-172.9103497,5,496
r,3,-84.40337808,-177.3475121,4,929
l,1,-82.99086569,-171.2533474,5,1310
l,1,-84.40121729,-177.4424911,6,990
r,3,-81.39401362,-156.5262091,5,837
l,1,-79.68423052,-153.2675763,2,312
l,1,-81.25775445,160.8483848,5,375
r,3,-82.95386915,-171.4255487,4,365
r,3,-82.25042828,-153.4542167,3,471
l,1,-82.35290527,161.0175077,3,55
l,2,-84.93338899,-149.9940656,6,943
l,2,-85.10968893,-152.4702772,5,846
l,1,-81.61479674,161.9860703,4,854
r,3,-83.58796472,-159.278538,3,465
l,2,-83.90794159,-164.2930812,6,75
l,3,-79.47718593,-151.0021491,3,151
l,2,-83.04852384,-170.8791821,5,1249
l,2,-84.05485263,-164.5423485,6,511
l,2,-84.65055444,-168.1690802,5,1081
r,3,-85.2890879,-148.7227038,3,663
r,3,-82.92094723,167.3633259,4,183
l,2,-82.89618517,-174.1330792,5,609
l,2,-85.03928816,-156.7287579,5,1151
l,1,-80.33337815,-150.1344483,4,129
l,1,-83.07142898,-156.1309338,5,1035
r,3,-80.27658909,-150.6150522,3,190
l,2,-84.35455701,-165.5077531,5,1136
l,2,-83.50464216,-169.7873222,4,1066
l,3,-84.62246469,-160.6826874,4,1334
l,2,-83.35482612,168.0908702,2,634
r,3,-80.03643921,-154.2780662,4,1279
r,3,-80.30474986,-150.2128395,4,471
l,1,-81.05531539,-154.8266877,5,114
l,2,-84.91417475,-151.1993106,4,120
r,3,-84.39634254,-177.8367714,2,45
l,1,-81.49883252,161.2421383,5,375
r,3,-82.92130789,-172.7942879,5,1380
l,1,-81.14232099,-151.3188506,3,312
l,1,-85.02283508,-152.265019,3,1227
r,3,-83.51122964,-164.6428663,6,639
l,1,-82.3230635,161.4742082,5,939
l,1,-85.37928749,-157.9722755,5,486
l,3,-85.29837999,-150.5275966,3,1263
l,3,-79.85887753,-148.0407552,2,1333
r,2,-84.42115674,-174.5793819,6,481
r,2,-84.33247961,-179.3430896,4,1289
r,1,-82.85082656,-162.8728216,4,1142
r,2,-84.35587142,-165.3994924,5,959
r,2,-79.8441509,159.6672042,6,1220
l,3,-80.39086023,-150.7259782,4,1135
r,2,-81.24789805,-158.6764569,4,578
r,1,-79.10977491,-160.920337,4,60
l,3,-83.45996853,170.4859459,4,954
r,1,-82.92154618,-173.0469061,5,435
r,1,-83.18173687,-157.4599346,5,654
l,3,-83.60609463,171.707759,4,1082
r,1,-79.83279363,-161.2052605,3,944
r,2,-85.30253711,-161.0663129,5,730
r,1,-79.76348715,-147.8785794,5,1294
r,2,-79.76309295,-155.3337882,3,495
l,3,-83.18732157,-170.7291896,4,1188
r,1,-83.26260986,168.3056521,2,1006
r,1,-81.11899586,-156.8007852,2,739
l,3,-81.98580491,-158.1115208,6,1340
r,1,-81.28593444,-162.5076751,3,282
r,2,-82.89605358,-155.2090434,5,1364
r,2,-82.0379242,-158.1131096,2,983
r,1,-79.76561974,160.1149474,4,1198
r,2,-79.85211382,-159.6396554,6,1303
r,1,-79.11288429,-151.2953638,5,571
r,2,-83.05263573,-157.1542381,3,160
l,3,-83.06397894,-156.8704271,3,160
l,3,-79.75481057,159.8655753,5,275
r,2,-81.57021297,-161.5657619,3,724
l,3,-81.5529784,-154.1964632,5,1096
r,1,-82.75080656,-154.5081231,6,800
r,1,-83.75652439,173.6328923,4,15
r,1,-79.79912493,-155.2057744,3,937
r,2,-84.18522946,178.8880064,3,853
r,1,-82.67121589,166.3826444,5,1076
r,2,-81.14437815,-157.5978428,4,358
l,3,-83.35513306,-162.8247992,4,1151
l,3,-79.6137642,-162.846113,3,1066
r,1,-83.96408198,175.6394792,4,1091
l,3,-80.38800763,160.6116712,4,153
r,1,-80.90778787,160.8376131,5,1259
l,3,-81.16665404,-158.2236721,6,75
r,2,-81.34273854,-161.4312336,5,221
l,3,-83.20738472,-171.5614744,4,1249
l,3,-84.62608271,-161.9633303,6,511
l,3,-83.22164111,-171.2400205,6,1319
r,2,-84.13749959,178.2826046,3,914
l,3,-83.10109028,-163.2281762,6,1081
l,3,-82.88808232,-172.032211,4,426
r,2,-81.61746285,-160.7051638,6,663
r,1,-80.87605578,160.5579609,5,595
r,2,-81.29161913,-159.5262852,6,639
l,3,-83.89264517,173.6631233,4,1274
l,3,-85.40836938,-151.9717681,4,1324
r,2,-84.79271374,-167.2637105,6,496
r,2,-83.09256845,-172.815816,6,929
r,1,-79.84655363,-159.4042329,4,1264
r,1,-81.27958747,-162.4176236,5,883
l,3,-83.14767889,168.8343272,4,1015
r,1,-81.42822876,-160.841374,6,1203
r,1,-84.29879585,-164.0736859,2,898
l,3,-85.39515271,-152.9299068,5,943
r,1,-84.39306297,-164.3810357,6,572
r,2,-82.73759738,-154.28544,4,471
r,2,-84.37521922,-163.6573253,5,1279
r,1,-84.46999287,-173.0524499,5,624
r,2,-81.09175938,-155.8312939,5,837
r,1,-83.78230812,-165.4836633,5,953
l,2,-85.46791275,-154.777529,4,623
l,1,-82.981256,167.476318,4,1128
l,1,-84.32532217,-178.9663789,4,670
l,1,-85.19330323,-148.5230382,5,541
l,1,-85.14693107,-153.181394,4,1349
l,1,-84.88425024,-155.7951615,6,526
l,2,-85.45980705,-154.0835433,4,206
r,3,-84.32892061,-179.2875104,4,847
r,3,-81.75220947,162.6012447,4,290
r,3,-83.515735,-161.538505,5,395
r,3,-84.81163839,-157.8367813,5,1111
r,3,-81.84421423,-158.8863151,4,959
l,2,-82.05721809,-157.8223946,3,38
r,3,-85.36387641,-158.2047542,4,1370
l,3,-79.28509907,-164.2823236,5,1166
r,2,-79.62581332,-149.4489113,3,29
r,3,-82.03067884,-154.266948,4,236
r,3,-81.12102602,-150.1644349,3,251
l,1,-82.24452678,-153.4902342,5,974
l,2,-84.91854127,-163.6917437,4,1096
r,3,-85.2636018,-149.6503639,3,724
r,3,-85.16319204,-148.9227178,5,160
l,2,-79.32171074,160.53366,5,275
l,1,-82.21169471,-153.6847086,5,532
l,2,-83.53158557,-162.0741264,4,456
r,3,-81.13456795,-153.257541,5,495
l,1,-82.87631417,-162.666823,4,197
l,1,-83.77567406,173.7237713,3,268
r,3,-83.05256403,-157.1524323,5,1105
r,3,-81.20837366,-159.3691796,2,983
l,1,-84.42079652,-176.2215605,4,1045
l,1,-80.96046715,-147.8951573,4,1172
l,2,-83.26145469,-164.9474042,5,1203
l,1,-79.89016196,161.3506218,3,1098
l,2,-84.56107852,-171.1621895,6,883
r,3,-82.47433794,162.2780134,4,939
l,2,-84.65769356,-160.8773751,4,1334
r,3,-85.02369004,-156.8130719,5,486
l,2,-83.83190814,-167.4200499,3,1264
l,2,-84.49447859,-172.4433743,4,1005
l,1,-83.11252238,-162.9896812,6,639
l,1,-84.39048305,-177.1191956,5,1106
r,3,-81.29519159,-162.3411091,4,1227
l,2,-80.46355326,160.9542042,5,595
l,2,-84.62257514,-162.0692916,5,953
l,1,-84.37763594,-163.5864584,4,837
r,3,-81.05582053,-154.1606873,6,556
l,2,-79.78228279,-163.1324281,4,624
r,3,-81.61293512,161.8700672,5,375
l,3,-80.02682495,-154.0016019,2,334
l,1,-81.07115232,-155.3339147,5,1279
l,1,-83.30762956,-169.7308148,3,252
l,1,-80.36523243,-150.8711258,3,190
r,3,-82.55853198,163.0341807,5,1052
r,3,-83.20807401,-157.0261499,4,1035
l,2,-81.45144325,161.1128545,4,1320
r,3,-84.43016048,-174.7270457,4,984
l,2,-82.75927662,166.8267725,5,1076
r,3,-83.35286463,-168.7914941,5,694
l,2,-80.90428157,160.7634771,5,817
l,1,-84.96497274,-151.2559802,3,663
r,1,-81.80064679,-153.9513097,3,151
l,2,-85.1829253,-148.9493055,4,760
r,1,-79.08305843,-151.5437694,4,715
l,1,-83.42221331,-160.3350279,4,465
r,3,-81.47743361,161.7924512,3,854
l,2,-85.39089222,-152.7446897,5,501
l,2,-85.38304314,-157.1139509,4,1309
l,2,-83.4581137,170.7192296,5,451
l,1,-83.34014936,-157.4488205,4,221
l,2,-84.89459069,-156.2982399,4,989
r,2,-81.36989327,-157.0567082,3,898
r,1,-84.78974983,-166.3648808,4,456
l,3,-79.89196813,-154.7475568,4,937
r,2,-82.17757806,-153.8536296,5,532
r,2,-84.35730514,-179.7648707,4,405
r,1,-79.91886172,160.0126939,5,275
r,1,-83.06294598,-156.8960015,4,1096
l,3,-81.38350984,-156.7491056,3,800
r,1,-83.50036457,-164.8263317,3,700
r,2,-82.2146825,-153.6682733,4,974
l,3,-79.14798189,-152.9726207,3,334
l,3,-79.20021913,-150.8788307,4,571
r,2,-84.39386061,-176.2464607,4,603
r,2,-81.13422928,-150.9626496,4,913
l,3,-79.64991949,160.3196414,5,1198
r,1,-84.08752333,177.6185954,4,969
r,2,-83.51091917,-164.61907,5,197
r,1,-81.3886783,-156.6201821,5,1340
l,3,-81.57586833,-161.608386,3,282
r,1,-79.42070109,-163.8490607,4,1188
r,2,-82.87353987,-162.2698762,6,526
l,3,-80.05892137,-148.5879111,5,1294
r,1,-83.3268309,-163.1844395,3,206
r,2,-81.4102474,-155.8684639,5,1181
