beam,beam_pair,lat,lon,repeat_cycles_no,track
r,1,-72.28389678,68.64253962,5,89
l,1,-69.90338212,74.55968008,4,538
r,1,-69.3224888,69.04847218,4,523
l,2,-70.89522546,71.79338537,3,729
r,2,-71.0951428,68.76133843,4,973
r,2,-69.79239147,73.45808025,4,104
l,1,-72.06687942,70.07807745,5,1285
r,2,-69.66989416,73.67396514,3,546
r,2,-70.5609847,72.18550706,3,226
l,2,-69.90385441,69.0189092,5,965
l,1,-72.4027884,69.15239855,4,1346
l,2,-69.04505046,69.31970748,4,965
r,1,-71.54209002,68.7373696,5,20
r,2,-68.87047483,69.76543987,2,1293
r,1,-70.27721984,71.72918591,5,1171
r,2,-70.5579481,68.81112491,6,28
l,2,-69.8847297,74.73794818,4,980
l,2,-71.50903401,71.26195421,3,790
l,3,-69.42526875,68.84281695,4,523
r,2,-69.37013307,69.15761244,4,1354
r,3,-69.80694356,74.41588816,3,538
l,3,-72.44685999,68.91331221,6,89
r,3,-72.18674489,69.82476239,5,1285
r,1,-71.89793988,69.88762005,5,843
r,2,-70.80094701,68.38589972,4,531
r,2,-69.26877858,76.90783046,4,744
r,1,-70.62650452,72.21405479,5,1163
l,3,-70.29926377,72.67794775,5,660
l,3,-72.42026543,69.20281515,5,401
r,3,-68.06709045,69.58508085,3,1293
r,3,-68.57070491,69.74900923,2,1293
r,2,-70.4332587,68.24497545,3,531
r,1,-72.24606203,68.6991718,4,462
l,3,-72.09756271,68.75655017,5,89
l,2,-68.76953538,70.2482329,4,790
r,2,-69.6721817,69.26382449,3,1354
r,2,-71.79617128,70.86627942,5,1293
r,1,-70.70341676,71.88897249,5,1171
r,3,-71.15313538,68.61906688,5,531
l,2,-70.01125624,67.82622232,5,89
r,1,-72.31018823,68.41146681,5,20
r,1,-70.10599475,72.66664188,3,218
r,3,-69.60913314,69.32841869,4,1354
l,3,-68.80360902,69.31687655,4,965
l,2,-68.78526413,69.40692886,4,965
r,2,-69.32897431,76.66921038,3,302
l,1,-68.86884757,69.67849848,2,1293
r,1,-70.0120274,72.96055254,5,660
l,2,-70.76176883,71.74123466,5,729
l,2,-71.64933039,67.68769365,3,150
l,2,-69.33764414,69.47903923,4,20
r,1,-71.32620253,68.24058944,5,89
l,2,-70.69546003,72.35800725,4,218
l,2,-71.90646441,69.78867102,5,843
l,2,-73.24084707,67.6276314,5,211
l,1,-71.41952011,70.87031032,4,348
r,2,-69.76911402,73.4788319,4,157
l,3,-71.93831773,70.76279352,4,851
l,3,-73.18718133,67.80178485,6,20
l,3,-70.05859828,72.50836106,4,218
l,1,-68.58082178,69.84363987,4,348
l,3,-70.35123788,71.93454843,5,1171
l,1,-70.59931794,68.21410335,4,531
l,2,-71.4936442,67.88263334,5,592
l,2,-70.48303622,72.4391065,2,218
l,2,-70.30959638,69.12938109,5,20
r,1,-72.15144826,68.58485408,5,89
r,2,-70.74629843,68.62410719,5,973
l,1,-68.7367803,69.63535939,2,1293
r,2,-69.83710499,73.73381847,5,546
l,3,-72.31392716,68.47181951,4,462
r,1,-70.4296649,72.82350216,3,165
l,2,-70.27655482,71.7379313,5,279
r,2,-69.90417854,74.5365334,4,485
l,2,-68.89301188,69.37096991,4,965
r,3,-69.36485791,69.24176322,4,1354
l,2,-69.44653643,76.44799129,3,1247
r,2,-69.94468182,68.48236294,4,81
r,1,-70.6315368,71.86163104,5,1171
r,2,-68.90822384,69.7780921,2,1293
r,3,-71.3767388,71.04596589,4,348
r,2,-72.06282198,70.20234989,5,1354
l,2,-71.42075076,71.22560717,4,790
l,3,-71.28631994,68.41123058,5,89
r,3,-72.11214577,69.85785865,5,1285
r,2,-69.85914881,68.0331125,3,531
r,1,-72.47818579,68.59644989,4,462
l,3,-70.06874931,72.76422028,5,660
r,2,-71.16782901,68.53093013,5,531
r,1,-71.98902328,69.84894397,5,843
r,3,-70.44123993,68.20758043,4,81
r,2,-68.57397016,69.92666045,4,348
r,3,-71.76477527,70.95001212,5,1293
r,3,-71.39847689,68.08594137,4,523
l,1,-69.8570208,73.6504244,5,546
l,1,-71.40980745,68.01488238,4,81
l,1,-70.76613712,68.53708104,5,973
l,3,-69.10871927,69.21289202,4,965
l,2,-68.57001141,69.73762067,4,20
l,2,-69.57495105,69.13648897,5,965
r,1,-71.48530328,68.76066983,5,20
r,1,-70.51556122,72.51530055,2,218
l,3,-73.21031236,67.71810092,5,211
r,2,-69.64668794,73.66573741,3,546
l,2,-72.49859234,68.22947771,5,20
l,3,-69.90172346,74.36183011,5,43
r,3,-69.83037423,73.36875934,4,157
r,1,-69.46673308,76.3711099,3,1247
l,1,-69.93455093,74.45665341,5,485
r,3,-69.92186669,68.40357813,5,973
r,3,-69.7050682,73.51425486,5,104
l,2,-72.4860937,68.49471823,3,462
r,3,-69.29535674,76.74332889,3,302
l,3,-69.66412068,69.2772493,5,20
r,1,-71.38843575,71.11974352,4,790
l,3,-70.32687968,71.66588562,3,729
l,1,-72.06743577,70.10296641,5,1354
l,1,-69.68729349,69.17946827,3,1354
l,3,-70.30562769,69.04077422,5,20
l,3,-71.44901136,67.95982315,5,592
r,3,-69.81247211,73.81286831,5,546
l,2,-72.27645738,68.58868755,4,462
r,3,-70.69661097,68.69677533,5,973
l,1,-69.87326277,74.43473154,5,485
r,1,-69.44600338,76.3639355,4,1247
r,3,-69.95309732,73.08578275,4,607
l,2,-71.50079448,68.66123842,5,20
l,3,-70.60889813,69.1843467,4,462
l,2,-70.26278136,71.81121309,5,1171
l,1,-71.81012645,70.77218471,5,1293
r,1,-70.67932337,72.4534676,4,218
r,1,-71.01531772,68.94840902,5,20
r,1,-68.72542735,70.28711315,4,904
l,2,-71.28581038,68.31638541,5,89
l,3,-68.7286956,70.31828475,4,790
l,2,-69.36662425,69.20935857,4,965
l,3,-69.05167016,69.23250486,4,965
r,3,-72.11077027,70.32217093,5,1354
l,2,-70.03143356,72.86703007,5,660
l,2,-72.05488732,70.50365086,5,782
r,2,-68.64130427,69.68936499,2,1293
r,3,-69.8525767,68.11883707,3,531
l,3,-70.8294459,68.22731229,5,89
l,1,-69.80460517,73.55634259,4,157
r,3,-69.86271166,74.60974987,4,485
r,3,-69.87594295,67.89956558,2,584
r,3,-69.92411133,68.40143856,4,81
r,1,-73.24560951,67.52730469,5,211
r,2,-71.48383584,68.65957915,4,531
r,2,-72.41439943,69.06039041,6,531
r,1,-72.27566863,69.72504965,5,843
r,3,-71.9185735,67.64313345,6,1095
l,3,-69.76995007,68.97929658,4,965
l,1,-69.82877093,73.38084492,4,104
r,2,-72.07799118,69.97170701,5,1285
l,1,-71.12528932,68.67688596,4,973
l,2,-70.46628394,72.70513601,5,660
l,3,-70.50907282,72.07869534,6,1163
r,1,-70.89557746,71.70325222,4,729
l,2,-69.70513311,69.09030643,4,965
l,3,-71.34233247,71.28868221,4,790
l,3,-68.872623,69.55329868,5,20
l,3,-69.34291742,69.1314669,5,965
r,3,-71.95359274,70.25313616,5,1354
l,2,-68.86845785,69.63878789,5,20
l,2,-69.30530784,68.97086731,3,523
r,1,-71.63208132,67.84629256,5,592
r,1,-70.44172453,72.5429249,3,218
r,2,-69.93410778,74.45765742,3,538
l,2,-72.24534312,68.72258485,5,89
l,1,-73.31376727,67.2979927,6,1156
r,1,-72.42820524,68.87868356,6,904
r,1,-69.35128876,69.55795382,3,20
l,1,-70.67265979,68.76088902,6,28
l,1,-69.56136342,68.87549365,5,912
l,2,-71.0781245,68.83270083,5,20
r,1,-70.0123838,67.74038414,5,89
r,2,-72.4149076,69.04361292,4,1346
l,1,-69.79974983,74.40856073,5,485
l,2,-70.02204019,67.57074233,6,1034
r,3,-72.37749128,69.40375391,4,973
l,1,-70.46439589,68.16341284,4,531
r,3,-69.73942749,73.52667752,4,104
l,3,-69.60461236,69.29856371,5,20
l,3,-72.25952463,68.75599941,6,904
l,3,-70.10905547,72.48953523,4,218
l,3,-69.86840526,74.86903291,4,927
r,2,-70.37058819,71.95996832,3,721
l,1,-69.32390435,69.05339159,4,1354
r,1,-69.88797267,74.82261308,4,980
r,1,-71.45744386,71.14770926,4,790
l,3,-70.58392493,71.76425417,4,729
l,3,-70.71579436,71.8154948,5,729
r,1,-71.62818925,71.21766111,4,790
l,1,-69.5887907,69.14496418,4,1354
