tide_range,beam,beam_pair,lat,lon,repeat_cycles_no,track
1.890110993,r,2,-68.13716307,-65.35582803,2,1367
1.887641102,pair,2,-66.29453544,-61.68956078,2,1123
1.886189444,l,2,-66.0709342,-60.85924469,4,826
1.882790006,l,1,-68.38758542,-65.35163723,2,1367
1.879279945,r,2,-67.80239971,-65.2505953,2,1367
1.870208194,pair,2,-66.46737586,-61.73863375,3,1123
1.867365951,r,3,-66.25803241,-61.50831662,2,887
1.858694443,l,2,-68.41674433,-63.01142214,2,125
1.858556667,l,2,-66.16702553,-61.3515834,4,1329
1.849015618,pair,2,-66.22887327,-61.67105969,2,1123
1.848900275,pair,1,-68.47847891,-63.85151696,3,186
1.841371921,l,3,-66.20946854,-62.51794855,4,1184
1.833482416,r,2,-66.92433389,-63.94787552,4,361
1.832404085,r,1,-68.47860711,-63.85033147,3,186
1.83219336,l,1,-66.28760037,-63.47004186,2,567
1.828157505,l,2,-66.06746768,-61.37938139,2,1329
1.823614677,r,3,-68.72636101,-61.00662209,3,445
1.82224353,r,3,-66.09373998,-61.70894308,2,1123
1.820748143,l,3,-66.09365409,-61.70691526,2,1123
1.818318523,r,1,-66.03180946,-61.54266229,3,1123
1.801366329,r,2,-66.29324648,-61.69023347,2,1123
1.80017554,pair,2,-66.06759762,-61.3782973,2,1329
1.784900409,l,1,-66.17163493,-61.42510202,4,1329
1.780054926,pair,1,-67.72009129,-65.40350031,3,925
1.761698142,r,2,-69.53258282,-62.19035751,5,620
1.75625436,l,2,-67.98389175,-65.30515306,3,1367
1.747829732,r,1,-66.28176228,-63.46964709,2,567
1.744066173,l,3,-68.48610831,-63.94425377,5,1131
1.722367032,l,2,-68.14009646,-65.35453931,2,1367
1.714919865,pair,2,-68.46960738,-63.77183681,3,186
1.709721209,r,1,-69.63545141,-62.16362337,3,1009
1.694945495,pair,1,-70.65292283,-60.95281307,2,498
1.685498174,l,3,-67.05938665,-64.9113255,2,247
1.682580231,l,3,-69.36460927,-62.9938403,3,681
1.680621414,l,3,-65.57566072,-61.96031922,2,445
1.671142606,r,2,-66.0682602,-61.3770701,2,1329
1.668424144,r,3,-65.5688233,-61.96021053,2,445
1.654123174,l,2,-68.4693031,-63.77309622,3,186
1.630814934,l,1,-66.04579424,-61.45973175,3,1329
1.618353518,pair,2,-66.2754802,-63.39712256,2,567
1.616932709,l,1,-70.65421242,-60.95207774,2,498
1.612569975,r,1,-69.58762269,-62.18040655,5,1009
1.595176606,pair,1,-66.15245393,-61.31550346,3,178
1.589299504,pair,1,-66.27743908,-63.47185552,2,567
1.587083885,l,1,-70.78546775,-62.04032813,3,117
1.568738556,pair,1,-68.41474735,-63.09324694,3,125
1.563981443,l,2,-67.59965126,-65.44540215,3,925
1.56396971,pair,3,-68.48641224,-63.94299942,5,1131
1.553443708,r,3,-68.21966858,-64.94506558,3,864
1.546376901,r,1,-66.04676752,-61.45742342,3,1329
1.526970128,r,1,-66.15530517,-61.31733781,3,178
1.521600448,r,1,-67.59265346,-64.90577456,2,247
1.494824161,r,3,-68.49351911,-62.90148189,3,125
1.493926976,r,1,-70.65287258,-60.95401663,2,498
1.444104878,pair,1,-66.04574831,-61.4587215,3,1329
1.440703005,l,1,-68.41373793,-63.09468077,2,125
1.392031016,r,2,-66.1750948,-61.34724797,3,1329
1.391491607,pair,2,-67.26046285,-64.82494465,2,422
1.370443754,pair,3,-68.41487917,-62.92853789,3,125
1.364976272,l,2,-67.26033284,-64.82383477,2,422
1.362711512,r,1,-69.02016778,-63.74517209,4,300
1.35128408,r,2,-67.26023813,-64.82594694,2,422
1.337973857,pair,2,-68.50241618,-64.02042529,5,1131
1.313672456,r,3,-68.5244293,-65.22733141,2,308
1.287050771,r,1,-66.17401986,-61.42229182,4,1329
1.281925084,pair,3,-66.05972571,-61.43891248,3,178
1.273200451,pair,1,-66.49920978,-62.89036413,4,64
1.26916648,r,3,-66.34691049,-61.00228042,2,1062
1.265444162,l,2,-68.14142449,-65.43591398,2,308
1.254626959,l,1,-67.61601978,-65.37095609,3,925
1.242336914,r,1,-69.28411715,-62.01789927,4,620
1.237103739,l,3,-66.05989516,-61.4379283,3,178
1.19004335,pair,1,-69.58749633,-62.18166095,5,1009
1.179779914,r,1,-69.40444369,-62.31877733,2,178
1.176373616,l,1,-66.50191849,-62.89065479,4,64
1.163491939,pair,2,-66.19302325,-62.43944626,2,1184
1.162680437,l,2,-66.16954156,-61.39409688,2,178
1.14867297,pair,1,-69.40945371,-62.31933795,2,178
1.120960258,r,3,-66.31532517,-60.9932468,2,1062
1.117827725,pair,2,-66.1707374,-61.39546035,2,178
